"","station","date","air_temp_avg_c","air_temp_min_c","air_temp_max_c","air_temp_peak_c","precip_total_mm","wind_speed_vcavg_ms","wind_dir_vcavg_deg","wind_speed_max_ms","wind_dir_max_speed_deg","hum_per","soil_temp_10cm_avg_c","barom_pres_hpa","soil_mois_wfv","solar_irr_avg_wm2","solar_irr_summ_mjm2d","file"
"1","PN Bicuar",2015-03-21,22.65,15,32.1,32.9,0,0.52,115.899,3.88889,77,71.08,NA,879.5,NA,281.75,24.3432,"2015-03_D_PNBicuar_0000361101_unan.xls"
"2","PN Bicuar",2015-03-22,21.33,16.7,29.6,31.7,3.8,0.83,224.326,3.41667,203,81.88,NA,879.7,NA,153.21,13.2372,"2015-03_D_PNBicuar_0000361101_unan.xls"
"3","PN Bicuar",2015-03-23,21.74,15.4,29.9,31,0,0.56,109.683,2.63889,67,78.75,NA,879.2,0.04,242.63,20.9628,"2015-03_D_PNBicuar_0000361101_unan.xls"
"4","PN Bicuar",2015-03-24,21.67,15.6,30.6,31.2,0,0.94,198.528,3.83333,183,75.08,25.8,878.5,0.04,252.88,21.8484,"2015-03_D_PNBicuar_0000361101_unan.xls"
"5","PN Bicuar",2015-03-25,21.19,16.5,30.1,30.9,13.6,0.73,209.883,5.5,297,82,25.13,878.6,0.039,135.46,11.7036,"2015-03_D_PNBicuar_0000361101_unan.xls"
"6","PN Bicuar",2015-03-26,21.89,17,29.8,30.3,0.2,0.96,153.04,3.25,188,82.08,24.87,879.9,0.047,256,22.1184,"2015-03_D_PNBicuar_0000361101_unan.xls"
"7","PN Bicuar",2015-03-27,22.18,17.6,29.4,30.4,18.8,1.2,241.229,4.30556,241,80.92,25.35,879.8,0.048,218.67,18.8928,"2015-03_D_PNBicuar_0000361101_unan.xls"
"8","PN Bicuar",2015-03-28,21.06,17.7,26.3,26.8,25.6,0.49,184.198,2.88889,322,85.29,24.28,878.9,0.071,167.96,14.5116,"2015-03_D_PNBicuar_0000361101_unan.xls"
"9","PN Bicuar",2015-03-29,20.9,17.4,25.6,26.1,5.2,1.68,268.344,3.30556,248,73.21,23.77,877.3,0.062,148.38,12.8196,"2015-03_D_PNBicuar_0000361101_unan.xls"
"10","PN Bicuar",2015-03-30,21.5,15.2,29,29.6,0,0.91,219.364,2.5,178,68.75,24.14,878.1,0.055,277.79,24.0012,"2015-03_D_PNBicuar_0000361101_unan.xls"
"11","PN Bicuar",2015-03-31,20.28,12.8,29,30,0,0.93,239.481,3.05556,230,72.88,24.38,878.8,0.05,237.42,20.5128,"2015-03_D_PNBicuar_0000361101_unan.xls"
"12","PN Bicuar",2015-04-01,22.14,15.6,30.1,31.2,0,0.77,208.15,3,249,71.29,25.41,879.4,0.047,263.38,22.7556,"2015-04_D_PNBicuar_0000361101_bxik.xls"
"13","PN Bicuar",2015-04-02,20.05,11.6,30.2,30.6,0,1.1,204.789,4.88889,151,69.42,25.8,878.6,0.044,284.54,24.5844,"2015-04_D_PNBicuar_0000361101_bxik.xls"
"14","PN Bicuar",2015-04-03,19.59,9.1,30.5,30.9,0,1.17,276.096,2.91667,302,66.54,25.57,877.4,0.042,291.08,25.1496,"2015-04_D_PNBicuar_0000361101_bxik.xls"
"15","PN Bicuar",2015-04-04,18.14,8.4,29.4,30.3,0,1.01,271.637,3.16667,307,70.13,25.65,877.5,0.04,290,25.056,"2015-04_D_PNBicuar_0000361101_bxik.xls"
"16","PN Bicuar",2015-04-05,17.69,8.1,29.8,30.5,0,0.88,229.757,2.86111,284,66.63,25.45,878,0.038,297,25.6608,"2015-04_D_PNBicuar_0000361101_bxik.xls"
"17","PN Bicuar",2015-04-06,17.66,5.9,30.6,31.2,0,0.75,233.889,2.94444,238,68.08,25.18,879.1,0.035,292.63,25.2828,"2015-04_D_PNBicuar_0000361101_bxik.xls"
"18","PN Bicuar",2015-04-07,16.21,13.5,16.6,32.1,0,0.48,219.798,0.944444,308,70.54,25.38,879.2,0.035,285.5,24.6672,"2015-04_D_PNBicuar_0000361101_bxik.xls"
