,GBIF.common.name,LPI.common.name,species,Common.Name,id,Units,n,intercept,slope,intercept_SE,slope_SE,intercept_p,slope_p,meanpop,row,downloader,data.available,geographic.range,species.LPI,species.GBIF,maxlat,minlat,maxlong,minlong,countoccur,lengthlat,lengthlong,range
1,Arctic / Mountain hare,Arctic / Mountain hare,Lepus timidus,Arctic / Mountain hare,4903,Unknown,22,-17.11559475,0.00878671,13.85840165,0.006971842,0.2298459,0.220760566,69.33333333,1,Gergana,yes,partWorld,Lepus timidus,Lepus timidus,71.71013221,-37.15553,170.41,-111.2,13946,108.8656622,281.61,30657.65913
2,Arctic jaeger / Parasitic jaeger / Arctic skua,Arctic jaeger / Parasitic jaeger / Arctic skua,Stercorarius parasiticus,Arctic jaeger / Parasitic jaeger / Arctic skua,12087,Number of apparently occupied territories,38,-32.34574798,0.016510648,5.757715677,0.00289371,1.90E-06,1.44E-06,21.725,2,Gergana,yes,World,Stercorarius parasiticus,Stercorarius parasiticus,81.8167,-68.825,179.173,-179.478,153281,150.6417,358.651,54027.79635
3,Arctic jaeger / Parasitic jaeger / Arctic skua,Arctic jaeger / Parasitic jaeger / Arctic skua,Stercorarius parasiticus,Arctic jaeger / Parasitic jaeger / Arctic skua,12101,Number of apparently occupied territories,17,54.97403509,-0.027476383,20.35885647,0.010277021,0.015167072,0.016034621,108.3157895,2,Gergana,yes,World,Stercorarius parasiticus,Stercorarius parasiticus,81.8167,-68.825,179.173,-179.478,153281,150.6417,358.651,54027.79635
4,Arctic jaeger / Parasitic jaeger / Arctic skua,Arctic jaeger / Parasitic jaeger / Arctic skua,Stercorarius parasiticus,Arctic jaeger / Parasitic jaeger / Arctic skua,1846,Number of territories,12,115.1780047,-0.057782975,11.76503056,0.005925447,4.50E-07,4.70E-07,191.2857143,2,Gergana,yes,World,Stercorarius parasiticus,Stercorarius parasiticus,81.8167,-68.825,179.173,-179.478,153281,150.6417,358.651,54027.79635
5,Arctic tern,Arctic tern,Sterna paradisaea,Arctic tern,9064,Number of pairs breeding in Wales,16,-28.06287272,0.014351188,26.64982349,0.013408648,0.3079743,0.300368034,484.7222222,4,Gergana,yes,World,Sterna paradisaea,Sterna paradisaea,83.05,-73.76667,178.848,-179.2198909,200270,156.81667,358.0678909,56151.01429
6,Atlantic cod / Cod,Atlantic cod / Cod,Gadus morhua,Atlantic cod / Cod,1421,Spawning stock biomass,32,52.90785366,-0.026339389,4.069358732,0.002040265,2.58E-14,3.12E-14,16370.11765,5,Gergana,yes,partWorld,Gadus morhua,Gadus morhua,78.9536,0,40,-170.25,76616,78.9536,210.25,16599.9944
7,Atlantic herring,Atlantic herring,Clupea harengus,Atlantic herring,2329,SSB tonnes,37,23.93626977,-0.011923722,5.792696326,0.00291232,0.000197249,0.000220735,139720.3846,6,Gergana,yes,partWorld,Clupea harengus,Clupea harengus,79.01308,0,69.09167,-176.57653,68827,79.01308,245.6682,19411.00114
8,Atlantic menhaden,Atlantic menhaden,Brevoortia tyrannus,Atlantic menhaden,1391,Spawning stock biomass (Thousand tonnes/millions),18,-86.40182774,0.043810746,12.51665851,0.006323115,1.87E-06,1.78E-06,41.55,7,Gergana,yes,partWorld,Brevoortia tyrannus,Brevoortia tyrannus,48.05,-35,0,-93.32414,930,83.05,93.32414,7750.569827
9,Atlantic menhaden,Atlantic menhaden,Brevoortia tyrannus,Atlantic menhaden,1399,Spawning stock biomass (Tonnes),19,20.8682598,-0.01036335,20.65434076,0.010431436,0.325018903,0.33296423,247.7619048,7,Gergana,yes,partWorld,Brevoortia tyrannus,Brevoortia tyrannus,48.05,-35,0,-93.32414,930,83.05,93.32414,7750.569827
10,Atlantic salmon,Atlantic salmon,Salmo salar,Atlantic salmon,6107,Eggs x 10^6,15,-62.34883431,0.031613047,27.53082375,0.013897395,0.038776998,0.03803344,2.091764706,9,Gergana,yes,World,Salmo salar,Salmo salar,71.199,-43.25,148.616,-170.23041,92136,114.449,318.84641,36491.65278
11,Balearic shearwater,Balearic shearwater,Puffinus mauretanicus,Balearic shearwater,6377,no. of individuals (normalised relative to 1980-2003 average),18,-45.8470247,0.023156336,12.41341872,0.006232066,0.001663131,0.001582433,0.92,10,Gergana,yes,partWorld,Puffinus mauretanicus,Puffinus mauretanicus,80.38392,0,59.43414,-31.25322,8140,80.38392,90.68736,7289.805491
12,Bar-tailed godwit,Bar-tailed godwit,Limosa lapponica,Bar-tailed godwit,1729,Index 1973=100,19,-32.17825312,0.016464266,20.37339475,0.010284351,0.130742813,0.125893975,117.6666667,13,Gergana,yes,World,Limosa lapponica,Limosa lapponica,80.38392,-52.55,179.214,-178.7167,118390,132.93392,357.9307,47581.13104
13,Bar-tailed godwit,Bar-tailed godwit,Limosa lapponica,Bar-tailed godwit,5143,Index,29,-18.77459721,0.009707351,8.857598419,0.00445101,0.042720856,0.037444124,125.3448965,13,Gergana,yes,World,Limosa lapponica,Limosa lapponica,80.38392,-52.55,179.214,-178.7167,118390,132.93392,357.9307,47581.13104
14,Barnacle goose / Greenland barnacle goose,Barnacle goose / Greenland barnacle goose,Branta leucopsis,Barnacle goose / Greenland barnacle goose,11161,Individuals,22,-72.75842078,0.036621707,6.115174139,0.003059864,4.68E-11,4.18E-11,33015.5,14,Gergana,yes,partWorld,Branta leucopsis,Branta leucopsis,80.38392,3.6917,59.43414,-157.818,320439,76.69222,217.25214,16661.54892
15,Barnacle goose / Greenland barnacle goose,Barnacle goose / Greenland barnacle goose,Branta leucopsis,Barnacle goose / Greenland barnacle goose,11162,Individuals,39,-47.27185517,0.023954683,1.908974084,0.000959267,1.83E-25,1.34E-25,15142.92683,14,Gergana,yes,partWorld,Branta leucopsis,Branta leucopsis,80.38392,3.6917,59.43414,-157.818,320439,76.69222,217.25214,16661.54892
16,Barnacle goose / Greenland barnacle goose,Barnacle goose / Greenland barnacle goose,Branta leucopsis,Barnacle goose / Greenland barnacle goose,11160,Number of individuals,7,-41.47020727,0.020978185,9.682299651,0.004858055,0.003641484,0.003487755,9109.666667,14,Gergana,yes,partWorld,Branta leucopsis,Branta leucopsis,80.38392,3.6917,59.43414,-157.818,320439,76.69222,217.25214,16661.54892
17,Black guillemot,Black guillemot,Cepphus grylle,Black guillemot,1637,breeding population index (from graphic),16,51.9382283,-0.025724769,22.46417417,0.01125361,0.034419909,0.03623438,105.5555556,16,Gergana,yes,partWorld,Cepphus grylle,Cepphus grylle,84.53333,-22.025,177.029,-179.478,168119,106.55833,356.507,37988.79055
18,Black guillemot,Black guillemot,Cepphus grylle,Black guillemot,1638,breeding population index (from graphic),12,71.70833333,-0.035714286,14.26670664,0.007144038,0.000296014,0.00030974,63.21428571,16,Gergana,yes,partWorld,Cepphus grylle,Cepphus grylle,84.53333,-22.025,177.029,-179.478,168119,106.55833,356.507,37988.79055
19,Black-legged kittiwake,Black-legged kittiwake,Rissa tridactyla,Black-legged kittiwake,1824,breeding population index (from graphic),18,74.98114035,-0.037280702,14.56744771,0.007300119,6.76E-05,7.37E-05,95.25,18,Gergana,yes,partWorld,Rissa tridactyla,Rissa tridactyla,83.31,-60.0083,179.945,-179.782,205160,143.3183,359.727,51555.4621
20,Black-legged kittiwake,Black-legged kittiwake,Rissa tridactyla,Black-legged kittiwake,1827,breeding population index (from graphic),16,96.86847224,-0.04821336,13.84306835,0.006934413,3.01E-06,3.26E-06,78.33333333,18,Gergana,yes,partWorld,Rissa tridactyla,Rissa tridactyla,83.31,-60.0083,179.945,-179.782,205160,143.3183,359.727,51555.4621
21,Black-legged kittiwake,Black-legged kittiwake,Rissa tridactyla,Black-legged kittiwake,1828,breeding population index (from graphic),18,99.70132685,-0.049712517,14.31608971,0.007174157,1.66E-06,1.78E-06,97.5,18,Gergana,yes,partWorld,Rissa tridactyla,Rissa tridactyla,83.31,-60.0083,179.945,-179.782,205160,143.3183,359.727,51555.4621
22,Black-legged kittiwake,Black-legged kittiwake,Rissa tridactyla,Black-legged kittiwake,1822,breeding population index (from graphic),18,55.39711779,-0.027568922,17.59571275,0.008817659,0.00555865,0.005830333,113,18,Gergana,yes,partWorld,Rissa tridactyla,Rissa tridactyla,83.31,-60.0083,179.945,-179.782,205160,143.3183,359.727,51555.4621
23,Black-legged kittiwake,Black-legged kittiwake,Rissa tridactyla,Black-legged kittiwake,1830,breeding population index (from graphic),18,-67.14695489,0.033909774,14.33067922,0.007181468,0.000184196,0.000170114,132,18,Gergana,yes,partWorld,Rissa tridactyla,Rissa tridactyla,83.31,-60.0083,179.945,-179.782,205160,143.3183,359.727,51555.4621
24,Black-legged kittiwake,Black-legged kittiwake,Rissa tridactyla,Black-legged kittiwake,1833,breeding population index (from graphic),18,56.2603652,-0.027873255,13.13741781,0.006583494,0.000448202,0.000499289,94.75,18,Gergana,yes,partWorld,Rissa tridactyla,Rissa tridactyla,83.31,-60.0083,179.945,-179.782,205160,143.3183,359.727,51555.4621
25,Black-legged kittiwake,Black-legged kittiwake,Rissa tridactyla,Black-legged kittiwake,5428,Breeding pairs,11,37.56840659,-0.018543956,48.021531,0.024107152,0.450536881,0.457955835,6515.384615,18,Gergana,yes,partWorld,Rissa tridactyla,Rissa tridactyla,83.31,-60.0083,179.945,-179.782,205160,143.3183,359.727,51555.4621
26,Black-legged kittiwake,Black-legged kittiwake,Rissa tridactyla,Black-legged kittiwake,1829,breeding population index (from graphic),6,82.88246097,-0.04135511,17.3262262,0.008692392,0.003051424,0.003134044,70.625,18,Gergana,yes,partWorld,Rissa tridactyla,Rissa tridactyla,83.31,-60.0083,179.945,-179.782,205160,143.3183,359.727,51555.4621
27,Black-legged kittiwake,Black-legged kittiwake,Rissa tridactyla,Black-legged kittiwake,6055,Breeding individuals,13,36.47517361,-0.018229167,42.49392813,0.021494095,0.406240991,0.411725432,155.9333333,18,Gergana,yes,partWorld,Rissa tridactyla,Rissa tridactyla,83.31,-60.0083,179.945,-179.782,205160,143.3183,359.727,51555.4621
