Site,Species,Per_Cover_P1,Per_Cover_P2,Per_Cover_P3,Per_Cover_P4,Abundance_P1,Abundance_P2,Abundance_P3,Abundance_P4,ACFOR_P1,ACFOR_P2,ACFOR_P3,ACFOR_P4
A,Brachypodium_sylvaticum,80,30,50,75,8,1,4,4,A,F,A,A
A,Populus_tremula,0.2,3,0,16,1,4,0,2,R,O,NA,O
A,Rubus_idaeus,10,8,10,5,1,1,1,1,R,R,R,R
A,Glechoma_hederacea,20,95,20,18,10,12,6,9,F,A,F,F
A,Poa_trivialis,2,0,0.1,27,1,0,1,2,O,NA,R,F
A,Scrophularia_nodosa,2,0,0,0,2,0,0,0,R,NA,NA,NA
A,Geranium_robertanum,3,5,5,6,2,2,6,4,R,O,F,O
A,Moss_,60,50,20,20,NA,NA,NA,NA,A,A,C,C
A,Geum_urbanum,4,30,2,5,1,6,1,4,F,C,R,O
A,Urtica_dioica,0,6,0,0,0,2,0,0,NA,O,NA,NA
A,Ajuga_genevensis,0,9,2,4,0,5,1,1,NA,O,R,R
A,Galium_aparine,0,0,6,0,0,0,4,0,NA,NA,O,NA
A,Crataegus_monogyna,0,0,1,0,0,0,4,0,NA,NA,R,NA
A,Fraxinus_excelsior,0,0,5,0.5,0,0,1,1,NA,NA,O,R
A,Silene_dioica,0,0,0,1,0,0,0,1,NA,NA,NA,R
A,Lamium_album,0,0,0,3,0,0,0,1,NA,NA,NA,R
B,Glechoma_hederacea,10,1,60,0,5,2,20,0,F,R,A,NA
B,Crataegus_monogyna,1,0.2,0,0.2,2,2,0,3,R,R,NA,R
B,Viola_riviniana,4,10,22,15,5,9,16,4,O,F,C,O
B,Fraxinus_excelsior,2,2,1,1,2,4,3,6,R,R,R,O
B,Moss_,50,45,50,18,NA,NA,NA,NA,C,C,C,O
B,Brachypodium_sylvaticum,2,1,0,0.2,1,1,0,1,R,R,NA,R
B,Geum_urbanum,0,0.1,4,0,0,1,7,0,R,R,O,NA
B,Rubus_caesius,0,0,6,3,0,0,5,1,NA,NA,O,R
C,Arctium_lappa,30,0,0,0,1,0,0,0,R,NA,NA,NA
C,Galium_aparine,5,0,0,0,1,0,0,0,O,NA,NA,NA
C,Geranium_robertanum,8,0.6,1,0,13,3,1,0,C,R,O,NA
C,Brachypodium_sylvaticum,85,55,42,65,6,5,8,10,A,A,A,A
C,Glechoma_hederacea,6,0,2,0,4,0,2,0,F,NA,O,NA
C,Dryopteris_filix-mas,20,0,0,0,2,0,0,0,O,NA,NA,NA
C,Fraxinus_exclesior,2,2,0,0.5,3,8,0,5,O,O,NA,O
C,Moss_,12,0,0,0,NA,NA,NA,NA,C,NA,NA,NA
C,Geum_urbanum,10,10,5,1,3,7,6,1,O,F,F,R
C,Rubus_idaeus,2,24,8,35,1,4,2,8,R,F,R,C
C,Rubus_Caesius,1,0,3,8,2,0,3,2,R,NA,R,R
C,Crataegus_monogyna,0.5,1,0,0.1,1,5,0,2,R,O,NA,R
C,Poa_trivialis,8,50,12,0,0,5,2,0,R,A,O,NA
C,Rubus_fruticosus,0,0,6,0,0,0,2,0,NA,NA,O,NA
C,Anthoxanthum_odoratum,0,0,8,0,0,0,8,0,NA,NA,R,NA
C,Cirsium_arvense,0,0,0,15,2,1,5,1,NA,NA,NA,O
C,Equisetum_palustre,6,15,4,1,0,0,0,2,O,O,R,R
