population,family,Individual,location_code,x_coord,y_coord,block,previous_damage,current_damage,total_damage
A,A5,A5_30,1,1,1,1,0,0,0
B,B9,B9_4,2,1,2,1,4,6,10
C,C4,C4_12,3,1,3,1,2,0,2
D,D7,D7_19,4,1,4,1,1,0,1
E,E2,E2_11,5,1,5,1,0,0,0
F,F10,F10_27,6,1,6,1,0,0,0
G,G8,G8_30,7,1,7,1,3,0,3
H,H8,H8_23,8,1,8,1,6,0,6
B,B6,B6_18,40,2,8,1,0,0,0
G,G2,G2_12,39,2,7,1,3,0,3
I,I1,I1_27,38,2,6,1,3,0,3
J,J8,J8_20,37,2,5,1,1,0,1
K,K9,K9_4,36,2,4,1,0,0,0
L,L6,L6_11,35,2,3,1,0,4,4
K,K4,K4_12,34,2,2,1,0,2,2
C,C8,C8_18,33,2,1,1,34,2,36
D,D6,D6_12,65,3,1,1,0,0,0
M,M9,M9_4,66,3,2,1,0,3,3
N,N6,N6_12,67,3,3,1,1,0,1
I,I10,I10_30,68,3,4,1,3,0,3
C,C2,C2_12,69,3,5,1,1,0,1
B,B4,B4_12,70,3,6,1,2,0,2
E,E6,E6_12,71,3,7,1,0,0,0
J,J2,J2_18,72,3,8,1,0,0,0
I,I7,I7_18,104,4,8,1,1,1,2
K,K10,K10_4,103,4,7,1,2,3,5
O,O10,O10_27,102,4,6,1,2,0,2
L,L3,L3_27,101,4,5,1,4,0,4
A,A9,A9_4,100,4,4,1,0,3,3
P,P9,P9_4,99,4,3,1,2,0,2
K,K6,K6_12,98,4,2,1,0,0,0
J,J4,J4_12,97,4,1,1,16,2,18
M,M4,M4_4,129,5,1,1,3,9,12
Q,Q7,Q7_23,130,5,2,1,34,18,52
R,R7,R7_19,131,5,3,1,6,0,6
C,C5,C5_1,132,5,4,1,0,0,0
S,S3,S3_23,133,5,5,1,3,0,3
N,N7,N7_12,134,5,6,1,0,2,2
H,H4,H4_30,135,5,7,1,0,1,1
A,A2,A2_4,136,5,8,1,4,0,4
T,T1,T1_23,168,6,8,1,27,0,27
S,S10,S10_30,167,6,7,1,8,0,8
E,E4,E4_30,166,6,6,1,3,0,3
S,S5,S5_18,165,6,5,1,0,0,0
K,K1,K1_19,164,6,4,1,1,14,15
K,K8,K8_11,163,6,3,1,3,0,3
P,P3,P3_27,162,6,2,1,7,7,14
U,U10,U10_4,161,6,1,1,12,1,13
J,J1,J1_20,193,7,1,1,1,0,1
O,O6,O6_27,194,7,2,1,1,0,1
